GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Locadora Filmes,com.seuprojeto.locadora.model,Pagamento,3,75,2,8,1,17,3,11,1,8
Locadora Filmes,com.seuprojeto.locadora.model,Cliente,54,61,12,0,11,18,11,11,5,11
Locadora Filmes,com.seuprojeto.locadora.model,Estoque,0,66,0,2,0,11,0,6,0,5
Locadora Filmes,com.seuprojeto.locadora.model,Categoria,0,29,0,0,0,9,0,6,0,6
Locadora Filmes,com.seuprojeto.locadora.model,Funcionario,0,55,0,4,0,14,0,10,0,8
Locadora Filmes,com.seuprojeto.locadora.model,Locacao,25,88,4,0,5,33,4,16,2,16
Locadora Filmes,com.seuprojeto.locadora.model,Filme,20,116,4,0,5,34,4,21,2,21
Locadora Filmes,com.seuprojeto.locadora.service,Notificacao,0,21,0,0,0,7,0,4,0,4
Locadora Filmes,com.seuprojeto.locadora.service,SistemaLocadora,0,154,1,13,0,36,1,13,0,7
Locadora Filmes,com.seuprojeto.locadora.service,Locadora,125,891,5,29,33,226,5,28,0,16
Locadora Filmes,com.seuprojeto.locadora.service,RelatorioLocacoes,3,45,1,3,1,9,2,4,1,3
Locadora Filmes,com.seuprojeto.locadora.ui,ValidadorEntrada,21,142,8,18,11,42,8,11,0,6
Locadora Filmes,com.seuprojeto.locadora.ui,Main,195,110,7,8,57,37,8,8,1,4
